Vertices (n),Density (m/n),Kruskal Time (s),Prim Time (s)
16,1.0,2.040863037109375e-05,1.6307830810546876e-05
16,2.0,2.6845932006835936e-05,2.8562545776367187e-05
16,4.0,3.643035888671875e-05,3.795623779296875e-05
16,7.5,4.6253204345703125e-05,5.4931640625e-05
32,1.0,3.185272216796875e-05,2.4938583374023436e-05
32,2.0,4.363059997558594e-05,5.0973892211914065e-05
32,4.0,6.284713745117188e-05,7.905960083007813e-05
32,8.0,0.00010237693786621093,0.00011396408081054688
32,15.5,0.000140380859375,0.00015859603881835939
64,1.0,5.5408477783203126e-05,4.1437149047851565e-05
64,2.0,8.9263916015625e-05,0.00013384819030761718
64,4.0,0.00012674331665039063,0.00015716552734375
64,8.0,0.00019979476928710938,0.00024962425231933594
64,16.0,0.00029935836791992185,0.0003173828125
64,31.5,0.0004825115203857422,0.00039463043212890626
128,1.0,9.551048278808594e-05,7.13348388671875e-05
128,2.0,0.00015292167663574218,0.00017561912536621094
128,4.0,0.00024232864379882812,0.0002720355987548828
128,8.0,0.00032482147216796877,0.00039196014404296875
128,16.0,0.0005384445190429688,0.0005491733551025391
128,32.0,0.0010007858276367188,0.00093536376953125
128,63.5,0.0019617080688476562,0.0015749454498291016
256,1.0,0.00017414093017578124,0.00013003349304199218
256,2.0,0.0003170013427734375,0.0003914356231689453
256,4.0,0.0005006790161132812,0.0005768299102783203
256,8.0,0.0006599903106689453,0.0008295536041259766
256,16.0,0.0010670185089111327,0.0010838985443115234
256,32.0,0.0017743110656738281,0.001737070083618164
256,64.0,0.004850339889526367,0.004094219207763672
256,127.5,0.008971977233886718,0.006654930114746094
512,1.0,0.000423431396484375,0.00032434463500976565
512,2.0,0.0008318901062011718,0.0010263919830322266
512,4.0,0.001001262664794922,0.001074361801147461
512,8.0,0.0016243457794189453,0.0017722606658935546
512,16.0,0.0024976253509521483,0.002400064468383789
512,32.0,0.0063170909881591795,0.004298686981201172
512,64.0,0.00953373908996582,0.008948993682861329
512,128.0,0.028758430480957033,0.025099420547485353
512,255.5,0.04561772346496582,0.040677547454833984
