Density,Kruskal Time (s),Prim Time (s)
0.01,0.001459026336669922,0.013398075103759765
0.05,0.0037750244140625,0.07536587715148926
0.1,0.005805063247680664,0.11246981620788574
0.2,0.009504270553588868,0.17152762413024902
0.3,0.013991546630859376,0.22366790771484374
0.4,0.019138193130493163,0.2617487907409668
0.5,0.02244877815246582,0.3039379596710205
0.6,0.036462926864624025,0.3357126712799072
0.7,0.043472814559936526,0.37826738357543943
0.8,0.05106706619262695,0.41524105072021483
0.9,0.057666349411010745,0.4446416854858398
